,dataset_index
0,7124
1,4528
2,5388
3,3530
4,3431
5,3532
6,3051
7,1953
8,712
9,6815
10,1857
11,2766
12,4408
13,8156
14,8109
15,4722
16,6670
17,154
18,1479
19,3715
20,5400
21,2095
22,6037
23,4482
24,8100
25,3489
26,2627
27,7407
28,4792
29,3805
30,5087
31,840
32,3191
33,6030
34,7832
35,567
36,6031
37,188
38,3982
39,7071
40,3941
41,820
42,1267
43,1030
44,1615
45,217
46,7838
47,560
48,4082
49,3290
50,1104
51,4668
52,6928
53,2121
54,5826
55,7130
56,1961
57,4112
58,2937
59,583
60,7661
61,6757
62,1042
63,8119
64,5845
65,3959
66,5171
67,839
68,2204
69,7228
70,275
71,411
72,3976
73,4660
74,3394
75,7305
76,5600
77,146
78,724
79,5234
80,5347
81,780
82,3124
83,7363
84,7356
85,4014
86,5754
87,258
88,7454
89,3401
90,273
91,2870
92,3034
93,5749
94,8188
95,665
96,3013
97,6528
98,6047
99,3504
100,1824
101,6455
102,5095
103,1038
104,5145
105,3003
106,4787
107,2853
108,3846
109,5038
110,445
111,1785
112,1657
113,2653
114,2256
115,7062
116,579
117,1087
118,7965
119,3954
120,3661
121,1576
122,6530
123,1129
124,7115
125,6322
126,2116
127,4253
128,6336
129,7754
130,378
131,6960
132,4623
133,2145
134,8069
135,1425
136,3730
137,5698
138,8169
139,2079
140,2537
141,3023
142,3559
143,769
144,1806
145,5102
146,1246
147,1674
148,5198
149,313
150,7352
151,3201
152,1587
153,7637
154,6576
155,5607
156,4271
157,7871
158,6270
159,743
160,2272
161,3060
162,4010
163,764
164,6687
165,2972
166,747
167,1017
168,3377
169,4036
170,1166
171,449
172,7970
173,5413
174,2750
175,881
176,5858
177,6889
178,1496
179,521
180,1667
181,4256
182,6111
183,5008
184,5766
185,6480
186,2227
187,7548
188,1526
189,5404
190,2687
191,1081
192,3172
193,7092
194,2494
195,5498
196,3616
197,2700
198,3491
199,4812
200,4312
201,2517
202,230
203,5373
204,1079
205,3257
206,4703
207,7443
208,1938
209,7089
210,7001
211,2432
212,3762
213,3206
214,2639
215,6755
216,1755
217,7670
218,7978
219,4605
220,7152
221,7206
222,3096
223,1114
224,979
225,7623
226,5412
227,1473
228,3163
229,3307
230,3620
231,7291
232,1622
233,1656
234,5928
235,1596
236,3517
237,4043
238,2075
239,5270
240,760
241,1056
242,7859
243,1280
244,6624
245,2745
246,599
247,4969
248,2169
249,6637
250,5659
251,2468
252,4549
253,405
254,6819
255,6915
256,6062
257,39
258,7173
259,6017
260,2406
261,3882
262,7310
263,5725
264,2539
265,6452
266,6812
267,1592
268,762
269,3613
270,2545
271,4959
272,7551
273,7463
274,3729
275,905
276,6612
277,4506
278,7628
279,2332
280,270
281,4840
282,268
283,7533
284,4930
285,2874
286,5687
287,5584
288,1405
289,4765
290,5899
291,693
292,6307
293,6285
294,6828
295,4695
296,8085
297,6771
298,5072
299,3877
300,2061
301,7542
302,4392
303,2873
304,2285
305,3673
306,7512
307,5266
308,574
309,2496
310,1720
311,5447
312,1186
313,79
314,6093
315,5155
316,4603
317,8033
318,4017
319,280
320,3159
321,3110
322,532
323,5057
324,4046
325,4941
326,3306
327,7042
328,1937
329,4136
330,2296
331,7200
332,1147
333,8112
334,1775
335,1634
336,7916
337,4940
338,4689
339,6259
340,8106
341,7497
342,1816
343,4807
344,4979
345,4957
346,7362
347,1850
348,5912
349,3888
350,2170
351,1145
352,3973
353,6045
354,3831
355,5265
356,296
357,6639
358,6776
359,3761
360,6090
361,5333
362,6924
363,627
364,3175
365,6084
366,4022
367,3302
368,5099
369,7134
370,189
371,5710
372,1221
373,6180
374,3842
375,2757
376,7778
377,2678
378,4056
379,2987
380,5620
381,46
382,5298
383,7541
384,3582
385,3298
386,451
387,7437
388,6362
389,7772
390,3318
391,2234
392,4686
393,5156
394,1950
395,2769
396,6947
397,827
398,6539
399,949
400,7919
401,4144
402,400
403,8147
404,5651
405,3049
406,3019
407,5321
408,5713
409,7574
410,5372
411,6206
412,3010
413,5467
414,7496
415,3224
416,3643
417,7749
418,6123
419,3173
420,3059
421,5494
422,6325
423,4383
424,6369
425,7148
426,8140
427,3723
428,5044
429,7723
430,361
431,182
432,1680
433,2217
434,8044
435,2611
436,6235
437,7121
438,7718
439,6273
440,5855
441,2830
442,2208
443,7979
444,2722
445,3719
446,1545
447,3864
448,3881
449,2467
450,5633
451,7930
452,2146
453,4471
454,6379
455,7058
456,6231
457,5957
458,1745
459,3036
460,4793
461,1796
462,1694
463,1356
464,5667
465,4859
466,7133
467,3619
468,6917
469,7527
470,6623
471,2574
472,4265
473,3806
474,7780
475,2718
476,1955
477,6878
478,5232
479,1364
480,7885
481,5689
482,5799
483,6470
484,1472
485,7924
486,679
487,6903
488,4209
489,353
490,2269
491,2609
492,5233
493,6239
494,6522
495,5150
496,6009
497,921
498,1854
499,2372
500,2806
501,5436
502,7894
503,2803
504,5770
505,5775
506,172
507,2828
508,8023
509,1033
510,5296
511,8052
512,7604
513,5348
514,1647
515,6894
516,3861
517,7101
518,2952
519,2521
520,5557
521,8186
522,7258
523,6883
524,4527
525,1542
526,3098
527,3099
528,917
529,1387
530,6634
531,7475
532,5499
533,4585
534,4735
535,2008
536,2939
537,5914
538,6577
539,7405
540,7161
541,3387
542,4451
543,1764
544,5884
545,3295
546,1874
547,1117
548,1517
549,6020
550,276
551,5549
552,1417
553,1687
554,1286
555,33
556,82
557,2736
558,1172
559,7536
560,1120
561,2355
562,4259
563,2171
564,1835
565,6044
566,4124
567,1697
568,393
569,4628
570,1579
571,4517
572,5318
573,4261
574,3176
575,3369
576,4464
577,6585
578,5301
579,7972
580,1426
581,4012
582,4604
583,2756
584,3651
585,6174
586,7392
587,7501
588,1765
589,3375
590,7450
591,1192
592,5975
593,2267
594,3738
595,5218
596,1410
597,6516
598,7280
599,2585
600,4040
601,6442
602,3329
603,3480
604,3149
605,2636
606,668
607,1230
608,5229
609,7663
610,2778
611,6094
612,6134
613,7994
614,1207
615,1513
616,6600
617,1376
618,1273
619,6302
620,8150
621,6343
622,7385
623,1437
624,7635
625,4005
626,3085
627,7843
628,1566
629,5001
630,1708
631,6435
632,7209
633,1768
634,190
635,909
636,3335
637,7518
638,1358
639,6702
640,56
641,8182
642,124
643,4487
644,3766
645,4501
646,4417
647,7726
648,6158
649,1633
650,2940
651,2965
652,5818
653,2827
654,5427
655,7498
656,3251
657,1460
658,3699
659,2690
660,4532
661,5437
662,2266
663,6667
664,206
665,2399
666,4782
667,1372
668,5768
669,5722
670,1612
671,5093
672,3778
673,2782
674,1965
675,2167
676,6015
677,7413
678,1671
679,2385
680,6676
681,4411
682,2109
683,6520
684,5392
685,7614
686,7292
687,2823
688,4188
689,2644
690,1778
691,5043
692,1565
693,6304
694,2078
695,3703
696,4800
697,1485
698,1187
699,2482
700,2451
701,6767
702,1049
703,4298
704,2659
705,460
706,2429
707,1238
708,8094
709,2953
710,6436
711,1365
712,6750
713,5577
714,6900
715,6349
716,3092
717,4671
718,3138
719,629
720,4775
721,1641
722,2975
723,7151
724,7250
725,940
726,2534
727,4515
728,1531
729,6798
730,4520
731,6659
732,5872
733,4048
734,4422
735,4072
736,3258
737,3832
738,6994
739,2503
740,1544
741,828
742,4982
743,6010
744,4254
745,2559
746,2235
747,5219
748,2829
749,6464
750,7360
751,5223
752,4478
753,3024
754,2213
755,6451
756,2625
757,1947
758,661
759,8176
760,7367
761,2187
762,6908
763,4601
764,1597
765,2643
766,2841
767,6355
768,2510
769,5408
770,4095
771,2893
772,5314
773,4760
774,4264
775,7762
776,3841
777,8019
778,981
779,805
780,1247
781,2703
782,5174
783,8072
784,3093
785,4062
786,800
787,1732
788,1915
789,7319
790,1461
791,4083
792,4612
793,1244
794,4375
795,6529
796,5010
797,6083
798,4704
799,4581
800,1968
801,6284
802,4094
803,2954
804,6586
805,5774
806,8073
807,7785
808,7805
809,6859
810,7573
811,5063
812,2287
813,5909
814,1677
815,6318
816,1199
817,1236
818,3807
819,7041
820,792
821,5808
822,4900
823,2998
824,6023
825,1826
826,2431
827,6323
828,7621
829,5538
830,128
831,3981
832,3722
833,6350
834,959
835,1368
836,420
837,6476
838,3894
839,261
840,701
841,6734
842,555
843,309
844,2742
845,1010
846,2861
847,3985
848,1532
849,3125
850,115
851,3790
852,5465
853,4972
854,2289
855,8159
856,6982
857,4155
858,149
859,1799
860,7742
861,2410
862,2442
863,5851
864,4599
865,1304
866,8102
867,3296
868,4075
869,1343
870,3338
871,8034
872,2945
873,5149
874,5320
875,6313
876,3500
877,2929
878,8121
879,2981
880,6593
881,7771
882,3833
883,3624
884,2880
885,7387
886,8151
887,2605
888,5305
889,369
890,6143
891,4586
892,6385
893,3577
894,6028
895,4359
896,329
897,3843
898,4252
899,6011
900,5590
901,1679
902,4785
903,1635
904,6289
905,6471
906,2202
907,1348
908,6077
909,2591
910,6223
911,7254
912,7462
913,2561
914,4146
915,1585
916,2405
917,1620
918,2407
919,5995
920,4251
921,5984
922,1632
923,3477
924,666
